Sex,Rings,Length,Diameter,Height,Weight
M,9,0.61,0.365,0.155,1.0765
M,11,0.615,0.475,0.205,1.337
M,12,0.625,0.5,0.18,1.3705
F,11,0.625,0.49,0.19,1.7015
M,11,0.63,0.485,0.18,1.2435
M,13,0.63,0.53,0.175,1.4135
F,11,0.635,0.485,0.155,1.073
F,12,0.635,0.5,0.175,1.477
M,9,0.635,0.5,0.18,1.2915
F,9,0.65,0.495,0.16,1.3105
M,9,0.67,0.525,0.18,1.4915
F,9,0.675,0.52,0.175,1.494
F,11,0.675,0.51,0.15,1.1965
M,11,0.68,0.545,0.185,1.672
M,10,0.7,0.545,0.215,1.9125
F,11,0.71,0.545,0.175,1.907
F,9,0.715,0.565,0.18,1.79
F,11,0.72,0.59,0.205,1.7495
I,7,0.42,0.305,0.1,0.3415
I,7,0.48,0.35,0.1,0.519
M,8,0.48,0.365,0.13,0.5305
M,9,0.51,0.41,0.155,1.2825
I,8,0.515,0.4,0.14,0.7165
F,9,0.56,0.42,0.18,1.6645
I,8,0.56,0.42,0.14,0.837
F,9,0.57,0.45,0.15,0.9645
F,10,0.605,0.465,0.155,1.1
M,9,0.625,0.48,0.16,1.2415
F,9,0.64,0.505,0.175,1.3185
M,9,0.65,0.525,0.185,1.3455
I,4,0.3,0.215,0.05,0.1185
M,7,0.35,0.265,0.09,0.197
I,9,0.455,0.35,0.13,0.4725
I,8,0.46,0.365,0.11,0.4495
I,8,0.49,0.375,0.115,0.557
I,8,0.5,0.385,0.12,0.516
I,9,0.54,0.415,0.135,0.709
M,11,0.55,0.42,0.145,0.7385
I,10,0.55,0.445,0.11,0.7935
M,8,0.555,0.435,0.145,0.9205
I,10,0.57,0.425,0.14,0.7655
M,10,0.58,0.45,0.14,0.824
I,11,0.58,0.425,0.145,0.83
I,10,0.585,0.47,0.17,0.985
M,11,0.585,0.45,0.15,0.997
F,9,0.595,0.455,0.14,0.914
F,11,0.6,0.5,0.17,1.13
F,9,0.615,0.495,0.155,1.0805
M,11,0.63,0.505,0.155,1.105
M,11,0.63,0.49,0.155,1.229
F,10,0.635,0.495,0.175,1.2355
F,10,0.645,0.535,0.19,1.2395
F,11,0.65,0.505,0.165,1.357
M,13,0.655,0.525,0.18,1.402
F,13,0.655,0.5,0.22,1.359
M,11,0.67,0.535,0.19,1.669
M,11,0.67,0.525,0.2,1.7405
M,10,0.695,0.53,0.21,1.51
M,11,0.695,0.55,0.195,1.6645
M,11,0.77,0.605,0.175,2.0505
I,6,0.28,0.215,0.07,0.124
I,7,0.33,0.23,0.08,0.14
I,6,0.35,0.25,0.075,0.1695
I,7,0.37,0.28,0.09,0.218
I,8,0.43,0.315,0.115,0.384
I,6,0.435,0.33,0.095,0.393
I,6,0.44,0.35,0.11,0.3805
M,8,0.475,0.37,0.11,0.4895
M,8,0.475,0.36,0.14,0.5135
I,8,0.48,0.355,0.11,0.4495
F,9,0.56,0.44,0.135,0.8025
F,11,0.585,0.475,0.165,1.053
F,11,0.585,0.455,0.17,0.9945
M,8,0.385,0.255,0.1,0.3175
I,7,0.39,0.31,0.085,0.344
I,7,0.39,0.29,0.1,0.2845
I,7,0.405,0.3,0.085,0.3035
I,10,0.475,0.365,0.115,0.499
M,9,0.5,0.38,0.125,0.577
F,8,0.515,0.4,0.125,0.615
M,10,0.52,0.385,0.165,0.791
M,10,0.55,0.43,0.13,0.8395
M,8,0.56,0.43,0.155,0.8675
F,11,0.565,0.45,0.165,0.887
M,10,0.59,0.44,0.135,0.966
M,9,0.6,0.475,0.205,1.176
F,10,0.625,0.485,0.15,1.0945
M,12,0.71,0.555,0.195,1.9485
